0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/images/c2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/js/jquery.flexslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/images/c3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:20 +0530] "GET /FashionWheel/resources/js/jquery-2.1.3.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:20 +0530] "GET /FashionWheel/resources/images/bb5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:20 +0530] "GET /FashionWheel/resources/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:20 +0530] "GET /FashionWheel/resources/images/bb3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:20 +0530] "GET /FashionWheel/resources/images/bb4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:20 +0530] "GET /FashionWheel/resources/images/bb1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:20 +0530] "GET /FashionWheel/resources/images/bb2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:21 +0530] "GET /FashionWheel/js/jquery-2.1.4.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:21 +0530] "GET /FashionWheel/resources/images/img-sp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:21 +0530] "GET /FashionWheel/js/bootstrap.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:21 +0530] "GET /FashionWheel/resources/js/jquery.magnific-popup.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:21 +0530] "GET /FashionWheel/js/waypoints.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:21 +0530] "GET /FashionWheel/js/counterup.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:24 +0530] "GET /FashionWheel/resources/images/favicon.ico HTTP/1.1" 200 32988
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:30 +0530] "GET /FashionWheel/ HTTP/1.1" 200 58017
