0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:40:40 +0530] "GET /FashionWheel/resources/js/jquery.magnific-popup.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:40:40 +0530] "GET /FashionWheel/js/waypoints.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:40:40 +0530] "GET /FashionWheel/js/counterup.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:40:43 +0530] "GET /FashionWheel/resources/images/favicon.ico HTTP/1.1" 200 32988
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:41:33 +0530] "GET /FashionWheel/contact HTTP/1.1" 200 23795
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:41:33 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:41:33 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:41:33 +0530] "GET /FashionWheel/resources/css/flatythem.css HTTP/1.1" 200 194349
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:05 +0530] "GET /FashionWheel/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:06 +0530] "GET /FashionWheel/register?execution=e1s1 HTTP/1.1" 200 19376
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:06 +0530] "GET /FashionWheel/resources/css/MintThem.css HTTP/1.1" 200 195510
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:07 +0530] "GET /FashionWheel/resources/images/background1.jpg HTTP/1.1" 200 1391702
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:23 +0530] "GET /FashionWheel/register?execution=e1s1&_eventId_home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:23 +0530] "GET /FashionWheel/ HTTP/1.1" 200 58017
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:23 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:23 +0530] "GET /FashionWheel/resources/css/flowregister.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:24 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:24 +0530] "GET /FashionWheel/js/bootstrap.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:24 +0530] "GET /FashionWheel/js/waypoints.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:24 +0530] "GET /FashionWheel/resources/js/jquery-2.1.3.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:24 +0530] "GET /FashionWheel/js/jquery-2.1.4.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:24 +0530] "GET /FashionWheel/js/counterup.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:24 +0530] "GET /FashionWheel/resources/js/jquery.magnific-popup.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:24 +0530] "GET /FashionWheel/resources/css/flowregister.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:24 +0530] "GET /FashionWheel/resources/js/jquery-2.1.3.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:25 +0530] "GET /FashionWheel/js/jquery-2.1.4.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:25 +0530] "GET /FashionWheel/js/bootstrap.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:25 +0530] "GET /FashionWheel/resources/js/jquery.magnific-popup.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:25 +0530] "GET /FashionWheel/js/waypoints.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:25 +0530] "GET /FashionWheel/js/counterup.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:44 +0530] "GET /FashionWheel/Mquickview HTTP/1.1" 200 5418
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:45 +0530] "GET /FashionWheel/resources/css/quick.css HTTP/1.1" 200 12634
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:45 +0530] "GET /FashionWheel/resources/css/reset.css HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:45 +0530] "GET /FashionWheel/resources/js/jquery-2.1.1.js HTTP/1.1" 200 247351
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:45 +0530] "GET /FashionWheel/resources/images/menban.jpg HTTP/1.1" 200 97660
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:45 +0530] "GET /FashionWheel/resources/js/modernizr.js HTTP/1.1" 200 51351
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:45 +0530] "GET /FashionWheel/resources/js/velocity.min.js HTTP/1.1" 200 33777
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:42:46 +0530] "GET /FashionWheel/resources/js/main.js HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:43:08 +0530] "GET /FashionWheel/home HTTP/1.1" 200 58017
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:43:08 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:43:08 +0530] "GET /FashionWheel/resources/css/flowregister.css HTTP/1.1" 404 1047
